"DPD France","DPD France"
"Orders management","Gestion des expéditions"
"Please first proceed to the configuration of the DPD France extension via System > Configuration > Sales > DPD France.","Veuillez d'abord procéder à la configuration du module DPD France via Système > Configuration > Ventes > DPD France. "
"DPD News","Informations DPD"
"show","afficher"
"hide","masquer"
"Export selected orders","Exporter les commandes sélectionnées"
"Update shipped orders","Traiter les commandes expédiées"
"Ad Valorem","Assurance<br/>Ad Valorem"
"Enable returns","Autoriser<br/>retours"
"DPD Pickup point","Relais Pickup"
"Track the package","Suivre la commande"
"Documentation","Documentation"
"Your personal data","Vos données d'expéditeur"
"Company Name","Raison sociale"
"Address 1","Adresse 1"
"Address 2","Adresse 2"
"Postal code","Code postal"
"Mobile","Mobile"
"E-mail","E-Mail"
"Default parcel insurance service","Condition d'assurance par défaut"
"Integrated insurance (23€ / transported kg - LOTI cdts.)","Assurance intégrée (23€ / kg transporté - cdt. LOTI)"
"Ad Valorem insurance service","Assurance complémentaire Ad Valorem"
"DPD Returns service","Option DPD Retour"
"No returns","Aucun retour"
"On Demand","Sur demande"
"Prepared","Préparée"
"config_comment","<strong>Bienvenue chez DPD France.</strong> La documentation de ce module disponible ici :<a href='../../../../../../../../media/dpdfrance/readme_dpdfrance_magento.pdf' target='_blank'><img src='../../../../../../../../media/dpdfrance/admin/pdf.png' alt='PDF'/></a><br/><br/><strong>Important : </strong>Vous devez être client de DPD France pour utiliser ce module. Dans le cas contraire rendez-vous sur<a href='http://www.dpd.fr/professionnels' target='_blank'>www.dpd.fr</a><br/><br/><strong>Veuillez renseigner vos données d'expéditeur</strong>"
